,AtBat,Inning,Batter,Pitcher,Outs,Bases,Score,Play,PitchSeq,lastEvent,LI,RE,WE,WPA,RE24,Year,Game,InningNum
67,68,▲ 7,R Sanders,F Rodriguez,2,___,9-9,Reggie Sanders struck out swinging.,"Swinging Strike, Called Strike, Strikeout Swinging",Strikeout,0.79,0.11,59.0%,-0.021,-0.11,2002,2, 7
68,69,▼ 7,T Glaus,F Rodriguez,0,___,9-9,Troy Glaus flied out to second.,"Ball, Ball, Ball, Called Strike, Fly Out",Fly Out,1.52,0.53,55.1%,-0.039,-0.25,2002,2, 7
69,70,▼ 7,B Fullmer,F Rodriguez,1,___,9-9,Brad Fullmer walked.,"Swinging Strike, Foul Ball, Ball, Ball, Ball, Foul Ball, Foul Ball, Foul Ball, Walked",Walk,1.17,0.28,59.1%,0.04,0.27,2002,2, 7
70,71,▼ 7,S Spiezio,F Rodriguez,1,1__,9-9,Scott Spiezio flied out to center.,Fly Out,Fly Out,2.0,0.55,54.3%,-0.049,-0.31,2002,2, 7
71,72,▼ 7,B Molina,F Rodriguez,2,1__,9-9,Bengie Molina flied out to right.,"Pickoff Throw (First Base), Pickoff Throw (First Base), Called Strike, Pickoff Throw (First Base), Ball, Pickoff Throw (First Base), Fly Out",Fly Out,1.49,0.24,50.0%,-0.043,-0.24,2002,2, 7
72,73,▲ 8,D Bell,F Rodriguez,0,___,9-9,David Bell flied out to center.,"Ball, Foul Ball, Fly Out",Fly Out,1.86,0.53,54.8%,-0.048,-0.25,2002,2, 8
73,74,▲ 8,S Dunston,F Rodriguez,1,___,9-9,Shawon Dunston fouled out to first.,Foul Fly Out,Foul Fly Out,1.42,0.28,58.4%,-0.036,-0.17,2002,2, 8
74,75,▲ 8,K Lofton,F Rodriguez,2,___,9-9,Kenny Lofton grounded out to pitcher.,"Called Strike, Foul Ball, Ground Out",Ground Out,1.0,0.11,61.0%,-0.026,-0.11,2002,2, 8
75,76,▼ 8,A Kennedy,F Rodriguez,0,___,9-9,Adam Kennedy flied out to center.,"Called Strike, Swinging Strike, Ball, Foul Ball, Foul Ball, Foul Ball, Fly Out",Fly Out,1.82,0.53,56.3%,-0.047,-0.25,2002,2, 8
76,77,▼ 8,D Eckstein,F Rodriguez,1,___,9-9,David Eckstein singled to right (Liner).,"Ball, Called Strike, Single",Single,1.42,0.28,61.0%,0.047,0.27,2002,2, 8
77,78,▼ 8,D Erstad,F Rodriguez,1,1__,9-9,Darin Erstad flied out to left.,"Pickoff Throw (First Base), Pickoff Throw (First Base), Ball, Swinging Strike, Ball, Pickoff Throw (First Base), Foul Ball, Foul Ball, Ball, Foul Ball, Fly Out",Fly Out,2.38,0.55,55.2%,-0.058,-0.31,2002,2, 8
78,79,▼ 8,T Salmon,F Rodriguez,2,1__,9-9,Tim Salmon homered (Fly). David Eckstein scored.,"Pickoff Throw (First Base), Home Run",Home Run,1.82,0.24,92.5%,0.374,1.87,2002,2, 8
79,80,▼ 8,G Anderson,T Worrell,2,___,11-9,Garret Anderson flied out to shortstop.,"Ball, Fly Out",Fly Out,0.14,0.11,92.2%,-0.004,-0.11,2002,2, 8
80,81,▲ 9,R Aurilia,T Percival,0,___,11-9,Rich Aurilia flied out to left.,"Ball, Fly Out",Fly Out,1.56,0.53,96.2%,-0.04,-0.25,2002,2, 9
81,82,▲ 9,J Kent,T Percival,1,___,11-9,Jeff Kent flied out to left.,"Foul Ball, Swinging Strike, Foul Ball, Ball, Foul Ball, Fly Out",Fly Out,0.99,0.28,98.8%,-0.025,-0.17,2002,2, 9
82,83,▲ 9,B Bonds,T Percival,2,___,11-9,Barry Bonds homered (Fly).,Home Run,Home Run,0.46,0.11,96.2%,0.026,1.0,2002,2, 9
83,84,▲ 9,B Santiago,T Percival,2,___,11-10,Benito Santiago flied out to second.,"Called Strike, Ball, Ball, Fly Out",Fly Out,1.45,0.11,100.0%,-0.038,-0.11,2002,2, 9
84,1,▲ 1,D Eckstein,J Schmidt,0,___,0-0,David Eckstein singled to center (Liner).,"Called Strike, Ball, Swinging Strike, Foul Ball, Single",Single,0.87,0.46,46.4%,0.036,0.37,2002,5, 1
85,2,▲ 1,D Erstad,J Schmidt,0,1__,0-0,Darin Erstad reached on fielder's choice to second. David Eckstein out at second.,"Pickoff Throw (First Base), Foul Ball, Pickoff Throw (First Base), Fielder's Choice",Fielders Choice,1.49,0.83,49.7%,-0.033,-0.34,2002,5, 1
86,3,▲ 1,T Salmon,J Schmidt,1,1__,0-0,Tim Salmon struck out swinging.,"Called Strike, Swinging Strike, Foul Ball, Ball, Ball, Pickoff Throw (First Base), Foul Ball, Strikeout Swinging",Strikeout,1.16,0.48,52.4%,-0.027,-0.27,2002,5, 1
87,4,▲ 1,G Anderson,J Schmidt,2,1__,0-0,Garret Anderson singled to center (Liner). Darin Erstad advanced to 2B.,"Ball, Pickoff Throw (First Base), Ball, Single",Single,0.8,0.21,50.5%,0.02,0.2,2002,5, 1
88,5,▲ 1,T Glaus,J Schmidt,2,12_,0-0,Troy Glaus struck out swinging.,"Called Strike, Swinging Strike, Ball, Foul Ball, Ball, Strikeout Swinging",Strikeout,1.66,0.41,54.6%,-0.042,-0.41,2002,5, 1
89,6,▼ 1,K Lofton,J Washburn,0,___,0-0,Kenny Lofton singled to left (Liner).,"Ball, Ball, Foul Ball, Single",Single,0.87,0.46,58.2%,0.036,0.37,2002,5, 1
90,7,▼ 1,R Aurilia,J Washburn,0,1__,0-0,Rich Aurilia flied out to center.,"Ball, Fly Out",Fly Out,1.47,0.83,54.9%,-0.033,-0.34,2002,5, 1
91,8,▼ 1,J Kent,J Washburn,1,1__,0-0,Jeff Kent walked. Kenny Lofton advanced to 2B.,"Called Strike, Called Strike, Ball, Ball, Ball, Walked",Walk,1.17,0.48,58.5%,0.036,0.38,2002,5, 1
92,9,▼ 1,B Bonds,J Washburn,1,12_,0-0,Barry Bonds doubled to right (Liner). Kenny Lofton scored. Jeff Kent advanced to 3B.,"Called Strike, Ball, Ball, Double",Double,1.96,0.86,72.7%,0.142,1.49,2002,5, 1
93,10,▼ 1,B Santiago,J Washburn,1,_23,1-0,Benito Santiago hit a sacrifice fly to left (Fly). Jeff Kent scored.,Sacrifice Fly,Sacrifice Fly,1.33,1.35,73.4%,0.007,-0.04,2002,5, 1
94,11,▼ 1,R Sanders,J Washburn,2,_2_,2-0,Reggie Sanders was intentionally walked.,"Intentional Ball, Intentional Ball, Intentional Ball, Intentionally Walked",Walk,0.82,0.3,74.0%,0.006,0.11,2002,5, 1
95,12,▼ 1,J Snow,J Washburn,2,12_,2-0,J.T. Snow walked. Barry Bonds advanced to 3B. Reggie Sanders advanced to 2B.,"Called Strike, Ball, Ball, Ball, Walked",Walk,1.13,0.41,76.0%,0.019,0.32,2002,5, 1
96,13,▼ 1,D Bell,J Washburn,2,123,2-0,David Bell walked. Barry Bonds scored. Reggie Sanders advanced to 3B. J.T. Snow advanced to 2B.,"Ball, Ball, Ball, Called Strike, Walked",Walk,1.93,0.73,83.0%,0.071,1.0,2002,5, 1
97,14,▼ 1,J Schmidt,J Washburn,2,123,3-0,Jason Schmidt struck out swinging.,"Called Strike, Called Strike, Strikeout Swinging",Strikeout,1.46,0.73,79.5%,-0.036,-0.73,2002,5, 1
98,15,▲ 2,S Spiezio,J Schmidt,0,___,3-0,Scott Spiezio struck out swinging.,"Foul Ball, Foul Ball, Strikeout Swinging",Strikeout,0.79,0.46,81.4%,-0.019,-0.22,2002,5, 2
99,16,▲ 2,A Kennedy,J Schmidt,1,___,3-0,Adam Kennedy grounded out to first.,"Ball, Called Strike, Ground Out",Ground Out,0.53,0.24,82.7%,-0.013,-0.14,2002,5, 2
100,17,▲ 2,B Molina,J Schmidt,2,___,3-0,Bengie Molina struck out swinging.,"Foul Ball, Ball, Called Strike, Strikeout Swinging",Strikeout,0.31,0.09,83.5%,-0.008,-0.09,2002,5, 2
101,18,▼ 2,K Lofton,J Washburn,0,___,3-0,Kenny Lofton singled to center (Liner).,"Foul Ball, Called Strike, Single",Single,0.43,0.46,85.2%,0.017,0.37,2002,5, 2
102,19,▼ 2,R Aurilia,J Washburn,0,1__,3-0,Rich Aurilia lined out to center.,Line Drive,Line Out,0.71,0.83,83.6%,-0.016,-0.34,2002,5, 2
103,20,▼ 2,J Kent,J Washburn,1,1__,3-0,Jeff Kent doubled to right (Fly). Kenny Lofton advanced to 3B.,"Ball, Ball, Ball, Called Strike, Double",Double,0.57,0.48,87.8%,0.042,0.86,2002,5, 2
104,21,▼ 2,B Bonds,J Washburn,1,_23,3-0,Barry Bonds was intentionally walked.,"Intentional Ball, Intentional Ball, Intentional Ball, Intentionally Walked",Walk,0.77,1.35,88.1%,0.003,0.17,2002,5, 2
105,22,▼ 2,B Santiago,J Washburn,1,123,3-0,"Benito Santiago singled to center (Liner). Kenny Lofton scored. Jeff Kent scored. Barry Bonds
advanced to 3B. Benito Santiago advanced to 2B on error. Error by Darin Erstad.",Single,Single,1.23,1.51,95.0%,0.069,1.83,2002,5, 2
106,23,▼ 2,R Sanders,J Washburn,1,_23,5-0,"Reggie Sanders hit a sacrifice fly to center (Fly). Barry
Bonds scored. Benito Santiago advanced to 3B.","Ball, Called Strike, Swinging Strike, Ball, Sacrifice Fly",Sacrifice Fly,0.36,1.35,95.5%,0.005,-0.01,2002,5, 2
107,24,▼ 2,J Snow,J Washburn,2,__3,6-0,J.T. Snow flied out to center.,"Ball, Swinging Strike, Called Strike, Ball, Foul Ball, Ball, Fly Out",Fly Out,0.21,0.34,95.0%,-0.006,-0.34,2002,5, 2
108,25,▲ 3,J Washburn,J Schmidt,0,___,6-0,Jarrod Washburn grounded out to shortstop.,"Ball, Called Strike, Ground Out",Ground Out,0.33,0.46,95.8%,-0.008,-0.22,2002,5, 3
109,26,▲ 3,D Eckstein,J Schmidt,1,___,6-0,David Eckstein walked.,"Ball, Ball, Ball, Walked",Walk,0.21,0.24,94.8%,0.009,0.25,2002,5, 3
110,27,▲ 3,D Eckstein,J Schmidt,1,1__,6-0,David Eckstein advanced on a stolen base to 2B.,,Stolen Base,0.42,0.48,94.4%,0.004,0.16,2002,5, 3
111,28,▲ 3,D Erstad,J Schmidt,1,_2_,6-0,Darin Erstad singled to left (Fly). David Eckstein advanced to 3B.,"Ball, Ball, Called Strike, (Stolen Base), Swinging Strike, Single",Single,0.46,0.64,92.5%,0.019,0.5,2002,5, 3
112,29,▲ 3,T Salmon,J Schmidt,1,1_3,6-0,Tim Salmon struck out swinging.,"Called Strike, Ball, Pickoff Throw (First Base), Ball, Swinging Strike, Foul Ball, Strikeout Swinging",Strikeout,0.79,1.14,94.9%,-0.025,-0.67,2002,5, 3
113,30,▲ 3,G Anderson,J Schmidt,2,1_3,6-0,Garret Anderson flied out to right.,"Called Strike, Ball, Pickoff Throw (First Base), Swinging Strike, Ball, Fly Out",Fly Out,0.59,0.47,96.6%,-0.016,-0.47,2002,5, 3
114,31,▼ 3,D Bell,J Washburn,0,___,6-0,David Bell singled to third (Grounder).,"Called Strike, Single",Single,0.11,0.46,97.0%,0.004,0.37,2002,5, 3
115,32,▼ 3,J Schmidt,J Washburn,0,1__,6-0,Jason Schmidt sacrificed to pitcher (Bunt Grounder). David Bell advanced to 2B.,Sacrifice,Sacrifice,0.17,0.83,96.8%,-0.002,-0.18,2002,5, 3
116,33,▼ 3,K Lofton,J Washburn,1,_2_,6-0,Kenny Lofton grounded out to second. David Bell advanced to 3B.,"Called Strike, Ground Out",Ground Out,0.16,0.64,96.5%,-0.004,-0.3,2002,5, 3
117,34,▼ 3,R Aurilia,J Washburn,2,__3,6-0,Rich Aurilia flied out to center.,"Ball, Fly Out",Fly Out,0.18,0.34,96.0%,-0.005,-0.34,2002,5, 3
118,35,▲ 4,T Glaus,J Schmidt,0,___,6-0,Troy Glaus struck out swinging.,"Called Strike, Foul Ball, Ball, Strikeout Swinging",Strikeout,0.3,0.46,96.7%,-0.007,-0.22,2002,5, 4
119,36,▲ 4,S Spiezio,J Schmidt,1,___,6-0,Scott Spiezio walked.,"Foul Ball, Ball, Ball, Foul Ball, Ball, Foul Ball, Foul Ball, Walked",Walk,0.18,0.24,95.9%,0.009,0.25,2002,5, 4
120,37,▲ 4,A Kennedy,J Schmidt,1,1__,6-0,Adam Kennedy struck out swinging.,"Ball, Foul Ball, Ball, Foul Ball, Foul Ball, Foul Ball, Foul Ball, Strikeout Swinging",Strikeout,0.39,0.48,96.8%,-0.009,-0.27,2002,5, 4
121,38,▲ 4,B Molina,J Schmidt,2,1__,6-0,Bengie Molina flied out to second.,"Foul Ball, Fly Out",Fly Out,0.22,0.21,97.4%,-0.006,-0.21,2002,5, 4
